,Faculty,Course,A,A-,B,B-,C,C-,D,W,F,Popularity_score,Difficulty_score,Difficulty_Level
177,Ази судлалын тэнхим,Хятад хэл соёл судлал ,0.0,0.0,0.0,2.0,3.0,2.0,0.0,1.0,5.333333333333333,13.333333333333334,3.4166666666666665,1
178,Ази судлалын тэнхим,Хятад хэл шинжлэлийн удиртгал,2.3333333333333335,2.3333333333333335,4.333333333333333,0.3333333333333333,1.6666666666666667,0.3333333333333333,1.6666666666666667,7.333333333333333,0.3333333333333333,20.666666666666668,2.8278688524590168,2
179,Ази судлалын тэнхим,Хятад хэл-1,9.5,7.833333333333333,3.5,2.8333333333333335,0.6666666666666666,1.8333333333333333,1.8333333333333333,2.5,0.8333333333333334,31.333333333333332,3.9426229508196724,1
180,Ази судлалын тэнхим,Хятад хэл-2,2.5,3.0,2.25,2.75,1.5,1.5,1.5,1.25,0.5,16.75,3.546153846153846,1
181,Ази судлалын тэнхим,Хятад хэл-3,1.6666666666666667,2.0,3.6666666666666665,2.5,3.0,2.1666666666666665,0.8333333333333334,0.8333333333333334,2.0,18.666666666666668,3.5799999999999996,1
182,Ази судлалын тэнхим,Хятад хэл: Анхан шат 1,2.0,5.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,11.0,3.6818181818181817,1
183,Ази судлалын тэнхим,Хятад хэл: Анхан шат 2,4.0,3.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,12.0,3.7083333333333335,1
184,Ази судлалын тэнхим,Хятад хэл: Дунд шат 1,6.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,12.0,3.7916666666666665,1
185,Ази судлалын тэнхим,Хятад хэл: Дунд шат 2,5.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,13.0,3.4615384615384617,1
186,Ази судлалын тэнхим,Хятад хэлний авиазүй,2.25,2.0,1.75,2.75,1.25,0.5,0.5,2.5,0.75,14.25,3.4166666666666665,1
187,Ази судлалын тэнхим,Хятад хэлний албан бичгийн найруулга зүй,1.6666666666666667,5.333333333333333,2.3333333333333335,2.3333333333333335,0.3333333333333333,0.0,0.3333333333333333,1.6666666666666667,0.3333333333333333,14.333333333333334,3.8214285714285716,1
188,Ази судлалын тэнхим,Хятад хэлний бичгийн орчуулга,5.5,6.0,6.5,4.0,2.5,2.25,1.5,3.75,2.0,34.0,3.63671875,1
189,Ази судлалын тэнхим,Хятад хэлний бүтээвэр зүй,0.6,0.4,0.6,1.6,0.8,1.0,1.0,1.8,0.2,8.0,2.7820512820512824,2
190,Ази судлалын тэнхим,Хятад хэлний дипломат орчуулга,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1
191,Ази судлалын тэнхим,Хятад хэлний нэр томъёоны орчуулга,0.0,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.375,0
192,Ази судлалын тэнхим,Хятад хэлний орчуулгын дүн шинжилгээ,5.333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.6666666666666667,0.0,0.6666666666666666,0.6666666666666666,0.0,11.666666666666666,4.000000000000001,1
193,Ази судлалын тэнхим,Хятад хэлний түүх,2.0,5.333333333333333,0.6666666666666666,3.0,2.3333333333333335,0.6666666666666666,1.3333333333333333,0.0,0.3333333333333333,15.666666666666666,3.83695652173913,1
194,Ази судлалын тэнхим,Хятад хэлний түүхэн эх сурвалжийн орчуулга,1.5,1.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,4.0,4.0,1
